ID_EQUIP_EDUCACAO;NOME;DEPENDENCIA_ADM;CODIGO_INEP;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;BAIRRO;REGIONAL;GEOMETRIA
1982984;CRECHE CENTRO INFANTIL UNIAO;Creches Conveniadas;31290190;RUA;ROTARY CLUB;86;;Conjunto Santa Maria;CENTRO-SUL;POINT (609083.13 7793508.91)
1982057;NÚCLEO INFANTIL MARIA CÂNDIDA CORRÊA;Creches Conveniadas;31304000;RUA;PROFESSOR RAIMUNDO NONATO;220;;Santa Tereza;LESTE;POINT (613474.84 7797880.06)
1982209;CRECHE LAR CRISTÃO DA CRIANÇA;Creches Conveniadas;31281867;RUA;SALVADOR PIRRI;292;;Milionários;BARREIRO;POINT (604402.37 7790508.18)
1982100;CRECHE COMUNITÁRIA JESUS E AS CRIANÇAS;Creches Conveniadas;31257842;RUA;SANTA AMELIA;370;;São Marcos;NORDESTE;POINT (613894.45 7802400.77)
1981842;CRECHE MADRE MAZZARELLO;Creches Conveniadas;31308684;RUA;SANTAREM;278;;Nova Cintra;OESTE;POINT (605562.54 7793842.73)
1982324;SABER SISTEMA AGUIOS BAT ENS;Creches Conveniadas;31293091;RUA;SANTAREM;386;;Nova Cintra;OESTE;POINT (605774.80 7793708.25)
1982047;ESCOLA MUNICIPAL PROFESSOR LOURENCO DE OLIVEIRA;Municipal;31005291;RUA;SAO GOTARDO;321;;Santa Tereza;LESTE;POINT (613962.50 7797749.09)
1981850;CRECHE CASINHA FELIZ DA COMUNIDADE VILA SÃO JOSÉ;Creches Conveniadas;31308498;AVENIDA;SIDERAL;605;;Vila Madre Gertrudes I;OESTE;POINT (604275.64 7793581.77)
1982158;GRUPAC GRUPO DE APOIO A CRIANÇA PADRE TEODORO;Creches Conveniadas;31309125;RUA;TIRO;50;;São Salvador;NOROESTE;POINT (603198.44 7800100.76)
1983089;EMEI SOLAR RUBI;EMEIS;31361933;AVENIDA;WARLEY APARECIDO MARTINS;730;;Solar do Barreiro;BARREIRO;POINT (603055.68 7787074.47)
1981711;ESCOLA MUNICIPAL SOLAR RUBI;Municipal;31358614;AVENIDA;WARLEY APARECIDO MARTINS;854;;Solar do Barreiro;BARREIRO;POINT (603097.82 7786942.36)
1982239;ESCOLA MUNICIPAL AUGUSTA MEDEIROS;Municipal;31003077;RUA;GENERAL CLARK;28;;São Salvador;NOROESTE;POINT (603119.27 7800256.91)
1983125;EMEI VILA MARIA;EMEIS;31361925;RUA;ZELIA JACINTA DA COSTA;7;;Jardim Vitória;NORDESTE;POINT (616832.47 7804909.53)
